(0x00041,0x0005A)
(0x00061,0x0007A)
(0x000AA,0x000AA)
(0x000B5,0x000B5)
(0x000BA,0x000BA)
(0x000C0,0x000D6)
(0x000D8,0x000F6)
(0x000F8,0x002C1)
(0x002C6,0x002D1)
(0x002E0,0x002E4)
(0x002EC,0x002EC)
(0x002EE,0x002EE)
(0x00370,0x00374)
(0x00376,0x00377)
(0x0037A,0x0037D)
(0x0037F,0x0037F)
(0x00386,0x00386)
(0x00388,0x0038A)
(0x0038C,0x0038C)
(0x0038E,0x003A1)
(0x003A3,0x003F5)
(0x003F7,0x00481)
(0x0048A,0x0052F)
(0x00531,0x00556)
(0x00559,0x00559)
(0x00560,0x00588)
(0x005D0,0x005EA)
(0x005EF,0x005F2)
(0x00620,0x0064A)
(0x0066E,0x0066F)
(0x00671,0x006D3)
(0x006D5,0x006D5)
(0x006E5,0x006E6)
(0x006EE,0x006EF)
(0x006FA,0x006FC)
(0x006FF,0x006FF)
(0x00710,0x00710)
(0x00712,0x0072F)
(0x0074D,0x007A5)
(0x007B1,0x007B1)
(0x007CA,0x007EA)
(0x007F4,0x007F5)
(0x007FA,0x007FA)
(0x00800,0x00815)
(0x0081A,0x0081A)
(0x00824,0x00824)
(0x00828,0x00828)
(0x00840,0x00858)
(0x00860,0x0086A)
(0x00870,0x00887)
(0x00889,0x0088E)
(0x008A0,0x008C9)
(0x00904,0x00939)
(0x0093D,0x0093D)
(0x00950,0x00950)
(0x00958,0x00961)
(0x00971,0x00980)
(0x00985,0x0098C)
(0x0098F,0x00990)
(0x00993,0x009A8)
(0x009AA,0x009B0)
(0x009B2,0x009B2)
(0x009B6,0x009B9)
(0x009BD,0x009BD)
(0x009CE,0x009CE)
(0x009DC,0x009DD)
(0x009DF,0x009E1)
(0x009F0,0x009F1)
(0x009FC,0x009FC)
(0x00A05,0x00A0A)
(0x00A0F,0x00A10)
(0x00A13,0x00A28)
(0x00A2A,0x00A30)
(0x00A32,0x00A33)
(0x00A35,0x00A36)
(0x00A38,0x00A39)
(0x00A59,0x00A5C)
(0x00A5E,0x00A5E)
(0x00A72,0x00A74)
(0x00A85,0x00A8D)
(0x00A8F,0x00A91)
(0x00A93,0x00AA8)
(0x00AAA,0x00AB0)
(0x00AB2,0x00AB3)
(0x00AB5,0x00AB9)
(0x00ABD,0x00ABD)
(0x00AD0,0x00AD0)
(0x00AE0,0x00AE1)
(0x00AF9,0x00AF9)
(0x00B05,0x00B0C)
(0x00B0F,0x00B10)
(0x00B13,0x00B28)
(0x00B2A,0x00B30)
(0x00B32,0x00B33)
(0x00B35,0x00B39)
(0x00B3D,0x00B3D)
(0x00B5C,0x00B5D)
(0x00B5F,0x00B61)
(0x00B71,0x00B71)
(0x00B83,0x00B83)
(0x00B85,0x00B8A)
(0x00B8E,0x00B90)
(0x00B92,0x00B95)
(0x00B99,0x00B9A)
(0x00B9C,0x00B9C)
(0x00B9E,0x00B9F)
(0x00BA3,0x00BA4)
(0x00BA8,0x00BAA)
